code,name,group,author,date,has doc,
Diagnostics/maindec-8i-d0aa,PDP-8 INSTRUCTION TEST PART 3A (EAE),unk,unk,1968-03-13,no,
Diagnostics/maindec-8i-d0ba,EXTENDED ARITHMETIC PDP-8I INSTRUCTION TEST PART 3B,unk,unk,1968-04-22,no,
Diagnostics/maindec-8i-d2ac,LE8/LP08 LINE PRINTER TEST,unk,unk,1971-07-16,no,
Diagnostics/maindec-8i-d4ca,PDP-8I MEMORY PARITY IOT TEST,unk,unk,unk,no,
Diagnostics/maindec-8i-d5bb,"DF32, DISCLESS LOGIC TEST, MINI DISC",unk,unk,,no,
Diagnostics/maindec-8i-d5fa,DF32D DISCLESS LOGIC TEST,unk,unk,1970-02-19,no,
Diagnostics/maindec-8i-d6ce,KV8/I DISPLAY DIAGNOSTIC,unk,unk,1969-08-04,no,
Diagnostics/maindec-8i-d8ae,KW8I REAL TIME CLOCK,unk,unk,1971-07-07,no,
,,,,,,
Diagnostics/maindec-8e-d0aa,PDP-8E INSTRUCTION TEST 1,unk,unk,1970-10-23,no,
Diagnostics/maindec-8e-d0ba,PDP-8E INSTRUCTION TEST 2,unk,unk,1970-10-23,no,
Diagnostics/maindec-8e-d0ca,8E ADDER TESTS,unk,unk,1970-11-02,no,
Diagnostics/maindec-8e-d0da,RANDOM AND TEST,unk,unk,1970-11-02,no,
Diagnostics/maindec-8e-d0ea,RANDOM TAD TEST,unk,unk,1970-11-02,no,
Diagnostics/maindec-8e-d0fa,RANDOM ISZ TEST,unk,unk,1970-10-26,no,
Diagnostics/maindec-8e-d0ga,RANDOM DCA TEST,unk,unk,1970-11-22,no,
Diagnostics/maindec-8e-d0hc,RANDOM JMP TEST,DIAGNOSTIC GROUP,Bruce Hansen,1970-10-27,yes,
Diagnostics/maindec-8e-d0ia,BASIC JMP-JMS TEST,unk,unk,1970-11-05,no,
Diagnostics/maindec-8e-d0ja,RANDOM JMP TEST,unk,unk,1970-10-27,no,
Diagnostics/maindec-8e-d0la,KE-8E (EAE) INSTRUCTION TEST 1,unk,unk,1971-07-15,no,
Diagnostics/maindec-8e-d0lb,KE-8E (EAE) INSTRUCTION TEST 1,unk,unk,1972-02-09,no,
Diagnostics/maindec-8e-d0ma,KE-8E (EAE) INSTRUCTION TEST 2,unk,unk,1971-07-08,no,
Diagnostics/maindec-8e-d0mb,KE-8E (EAE) INSTRUCTION TEST 2,unk,unk,1971-07-08,no,
Diagnostics/maindec-8e-d1aa,MM8-E 4K MEMORY CHECKERBOARD,unk,unk,1970-08-03,no,
Diagnostics/maindec-8e-d1bb,KM8-E 4K EXTENDED MEMORY CHECKERBOARD,unk,unk,1970-11-24,no,
Diagnostics/maindec-8e-d1ea,MEMORY ADDRESS TEST,unk,unk,1970-10-24,no,
Diagnostics/maindec-8e-d1fa,PDP-8E EXTENDED MEMORY ADDRESS TEST,unk,unk,1970-11-25,no,
Diagnostics/maindec-8e-d1ga,PDP-8E MEMORY POWER ON/OFF TEST,unk,unk,1970-10-28,no,
Diagnostics/maindec-8e-d1ha,PDP 8E MEMORY EXTENSION AND TIME SHARE CONTROL TEST,unk,unk,1970-11-01,no,
Diagnostics/maindec-8e-d1ib,MI8E BOOTSTRAP DIAGNOSTIC,unk,unk,1972-01-17,no,
Diagnostics/maindec-8e-d2aa,PDP-8E TELETYPE CONTROL TEST,unk,unk,1970-11-11,no,
Diagnostics/maindec-8e-d2ca,HIGH SPEED READER/PUNCH TESTS,unk,unk,1971-02-18,no,
Diagnostics/maindec-8e-d8ac,DK8E CLOCKS DIAGNOSTIC,unk,unk,1971-10-08,no,
,,,,,,
Diagnostics/maindec-08-dhcra-a,CR8E/CR8F CARD READER TEST,unk,unk,1977-01,no,replaces maindec-8e-d2eb
Diagnostics/maindec-08-dhdra-a,DR8-EA 12 CHANNEL BUFFERED DIGITAL INTERFACE,DIAGNOSTIC GROUP,Michael David/P. Coyne,1972-03,yes,replaces maindec-8e-d0qb
Diagnostics/maindec-08-dhkld-a,PDP-8/E TELETYPE AND KL8 ASYNCHRONOUS DATA CONTROL TESTS,unk,unk,1972-04-06,no,replaces maindec-8e-d2ac
